Date & Time,Home Team,Away Team,Home Score,Away Score,Home Set Scores,Away Set Scores
22.10. 11:00,Piacenza,Padova,3,0,25 25 25,21 19 16
22.10. 09:00,Taranto,Verona,1,3,22 22 28 16,25 25 26 25
22.10. 08:45,Modena,Milano,3,2,25 12 21 26 15,19 25 25 24 12
17.05. 13:30,Trentino,Lube Civitanova,3,0,25 25 25,20 20 19
13.05. 12:30,Perugia,Monza,2,3,25 15 25 24 10,21 25 19 26 15
12.05. 13:30,Lube Civitanova,Trentino,3,1,25 27 20 25,18 25 25 16
07.05. 11:00,Trentino,Lube Civitanova,3,0,25 25 25,17 20 16
07.05. 11:00,Monza,Padova,3,0,25 35 25,23 33 14
07.05. 11:00,Perugia,Modena,3,0,25 25 25,18 12 17
06.05. 11:00,Piacenza,Milano,3,0,25 28 25,19 26 21
04.05. 13:30,Lube Civitanova,Trentino,3,2,25 25 19 23 17,21 15 25 25 15
03.05. 13:30,Milano,Piacenza,0,3,24 19 23,26 25 25
01.05. 11:15,Trentino,Lube Civitanova,3,1,25 23 25 25,23 25 23 17
30.04. 11:00,Piacenza,Milano,3,0,25 25 25,17 16 22
30.04. 11:00,Modena,Verona,3,1,25 18 27 25,22 25 25 23
30.04. 11:00,Padova,Perugia,3,1,18 26 34 25,25 24 32 18
25.04. 12:00,Verona,Monza,0,3,18 17 24,25 25 26
25.04. 11:00,Lube Civitanova,Milano,3,1,27 25 23 27,25 22 25 25
25.04. 11:00,Trentino,Piacenza,3,1,18 25 25 25,25 20 17 19
25.04. 11:00,Perugia,Modena,3,0,25 25 34,22 21 32
22.04. 13:30,Piacenza,Trentino,3,0,25 25 25,21 23 23
22.04. 12:30,Monza,Padova,3,0,25 25 25,21 21 22
22.04. 12:30,Perugia,Verona,3,2,25 24 22 25 15,15 26 25 14 6
22.04. 11:00,Milano,Lube Civitanova,2,3,25 25 19 22 7,23 18 25 25 15
19.04. 13:30,Lube Civitanova,Milano,0,3,23 18 24,25 25 26
19.04. 13:30,Trentino,Piacenza,0,3,23 22 20,25 25 25
19.04. 13:30,Padova,Modena,3,2,25 22 25 26 15,21 25 21 28 11
19.04. 12:30,Monza,Perugia,0,3,22 22 29,25 25 31
16.04. 11:00,Milano,Lube Civitanova,3,2,25 20 25 21 15,18 25 21 25 9
16.04. 11:00,Piacenza,Trentino,1,3,19 22 25 20,25 25 20 25
16.04. 11:00,Modena,Monza,2,3,23 19 25 25 11,25 25 23 22 15
15.04. 13:30,Verona,Padova,3,0,25 25 25,17 11 23
13.04. 13:30,Lube Civitanova,Milano,3,0,25 25 25,17 22 17
13.04. 13:30,Trentino,Piacenza,3,0,25 25 25,23 22 18
12.04. 13:30,Padova,Taranto,3,1,25 25 22 25,13 21 25 18
10.04. 11:00,Modena,Piacenza,2,3,25 25 20 21 12,19 17 25 25 15
10.04. 11:00,Perugia,Milano,1,3,25 21 27 23,18 25 29 25
08.04. 11:00,Lube Civitanova,Verona,3,0,25 25 25,19 23 23
08.04. 11:00,Taranto,Cisterna,1,3,25 25 16 19,20 27 25 25
02.04. 13:30,Monza,Trentino,0,3,22 20 19,25 25 25
02.04. 11:00,Milano,Perugia,3,2,25 19 19 28 15,15 25 25 26 13
02.04. 11:00,Piacenza,Modena,3,0,25 25 25,20 21 20
02.04. 08:30,Padova,Cisterna,3,0,25 25 25,19 22 23
01.04. 13:30,Verona,Lube Civitanova,1,3,25 23 26 24,20 25 28 26
26.03. 11:00,Lube Civitanova,Verona,3,0,25 25 28,17 22 26
26.03. 10:00,Modena,Piacenza,0,3,21 22 23,25 25 25
26.03. 10:00,Perugia,Milano,3,1,22 30 25 25,25 28 18 20
26.03. 08:30,Taranto,Padova,3,0,28 25 25,26 22 17
25.03. 14:30,Trentino,Monza,3,1,22 25 25 25,25 18 19 19
23.03. 14:30,Cisterna,Taranto,3,0,25 25 25,21 21 17
22.03. 14:30,Milano,Perugia,3,2,27 25 21 18 15,25 21 25 25 13
22.03. 14:30,Monza,Trentino,3,1,25 25 23 25,21 16 25 18
22.03. 14:30,Piacenza,Modena,2,3,25 21 25 21 13,19 25 22 25 15
22.03. 14:30,Verona,Lube Civitanova,3,2,24 25 20 25 15,26 20 25 23 11
19.03. 12:00,Lube Civitanova,Verona,0,3,24 29 24,26 31 26
19.03. 12:00,Modena,Piacenza,3,2,25 23 25 20 15,19 25 19 25 11
19.03. 12:00,Trentino,Monza,3,2,25 25 13 18 15,16 21 25 25 13
18.03. 12:00,Perugia,Milano,3,0,25 25 25,22 15 18
16.03. 14:30,Cisterna,Padova,0,3,21 22 18,25 25 25
12.03. 12:00,Milano,Taranto,3,0,25 26 25,21 24 18
12.03. 12:00,Monza,Siena,3,0,25 25 25,19 22 22
12.03. 12:00,Perugia,Lube Civitanova,3,0,25 25 25,16 19 20
12.03. 12:00,Piacenza,Padova,3,1,25 18 25 25,15 25 21 21
12.03. 12:00,Trentino,Modena,3,0,25 25 25,18 20 22
11.03. 11:00,Verona,Cisterna,3,1,25 25 21 25,22 20 25 20
05.03. 13:30,Siena,Verona,0,3,21 20 19,25 25 25
05.03. 11:00,Modena,Monza,2,3,23 18 30 25 16,25 25 28 18 18
05.03. 11:00,Padova,Trentino,1,3,27 22 21 27,25 25 25 29
05.03. 11:00,Taranto,Perugia,0,3,22 19 19,25 25 25
04.03. 11:00,Cisterna,Piacenza,3,0,25 25 25,18 18 20
04.03. 11:00,Lube Civitanova,Milano,3,0,25 25 25,22 15 12
25.02. 13:00,Siena,Lube Civitanova,0,3,21 18 23,25 25 25
19.02. 13:30,Milano,Trentino,2,3,25 26 23 24 8,22 24 25 26 15
19.02. 11:00,Lube Civitanova,Piacenza,3,2,18 22 25 25 15,25 25 23 23 13
19.02. 11:00,Monza,Padova,2,3,24 25 25 20 13,26 17 17 25 15
19.02. 11:00,Verona,Modena,3,2,25 28 19 20 15,19 26 25 25 10
19.02. 08:30,Perugia,Cisterna,3,0,25 25 25,23 18 22
18.02. 11:00,Taranto,Siena,3,2,25 23 25 23 15,15 25 22 25 10
12.02. 11:30,Trentino,Perugia,2,3,25 18 22 25 11,19 25 25 23 15
12.02. 11:00,Modena,Taranto,3,1,25 25 20 25,22 16 25 18
12.02. 08:30,Padova,Verona,2,3,21 22 25 29 17,25 25 20 27 19
12.02. 08:30,Piacenza,Milano,3,1,27 25 18 25,25 18 25 19
11.02. 11:00,Cisterna,Monza,1,3,25 23 23 22,20 25 25 25
05.02. 11:00,Lube Civitanova,Cisterna,3,1,20 25 25 27,25 18 23 25
05.02. 10:00,Milano,Padova,3,1,25 23 25 25,18 25 20 19
05.02. 09:00,Monza,Verona,1,3,24 20 25 21,26 25 14 25
05.02. 08:30,Taranto,Trentino,0,3,24 26 22,26 28 25
04.02. 13:30,Modena,Siena,3,1,34 25 20 28,32 12 25 26
04.02. 11:00,Perugia,Piacenza,3,1,22 25 25 25,25 22 21 17
29.01. 13:45,Cisterna,Modena,1,3,22 23 25 23,25 25 20 25
29.01. 11:00,Trentino,Monza,3,0,25 25 30,15 18 28
29.01. 11:00,Verona,Lube Civitanova,3,2,25 25 20 20 15,22 22 25 25 12
29.01. 08:30,Piacenza,Taranto,3,2,29 25 20 23 15,27 21 25 25 9
29.01. 08:30,Siena,Padova,3,2,21 21 25 25 15,25 25 14 14 13
28.01. 09:00,Milano,Perugia,0,3,19 23 21,25 25 25
22.01. 11:00,Modena,Perugia,1,3,25 23 16 18,23 25 25 25
22.01. 11:00,Padova,Taranto,3,0,25 25 25,21 21 20
22.01. 08:30,Siena,Cisterna,3,1,22 25 25 25 0,25 19 22 18 0
22.01. 08:30,Verona,Milano,3,0,25 27 25,23 25 21
21.01. 11:00,Lube Civitanova,Trentino,1,3,19 25 19 18,25 22 25 25
21.01. 11:00,Monza,Piacenza,3,1,22 27 25 25,25 25 20 15
15.01. 13:30,Cisterna,Trentino,3,2,25 25 24 35 15,21 22 26 37 13
15.01. 13:30,Piacenza,Siena,1,3,22 25 24 31,25 17 26 33
15.01. 11:00,Milano,Modena,3,1,23 30 25 25,25 28 18 21
15.01. 11:00,Perugia,Padova,3,0,25 25 25,22 21 21
15.01. 08:30,Lube Civitanova,Monza,1,3,25 33 20 14,22 35 25 25
14.01. 11:00,Taranto,Verona,3,0,25 25 25,22 22 20
08.01. 13:30,Monza,Taranto,3,1,25 22 27 30,23 25 25 28
08.01. 11:00,Padova,Cisterna,3,2,17 19 25 25 15,25 25 21 20 12
08.01. 11:00,Verona,Perugia,0,3,17 17 16,25 25 25
08.01. 08:30,Siena,Milano,0,3,15 22 15,25 25 25
08.01. 08:30,Trentino,Piacenza,1,3,22 25 19 21,25 19 25 25
07.01. 11:00,Modena,Lube Civitanova,3,0,25 25 25,16 21 19
26.12. 11:00,Milano,Monza,1,3,18 22 25 22,25 25 22 25
26.12. 11:00,Padova,Lube Civitanova,0,3,22 14 17,25 25 25
26.12. 11:00,Perugia,Siena,3,0,25 25 25,19 17 16
26.12. 11:00,Piacenza,Modena,0,3,22 19 17,25 25 25
26.12. 11:00,Taranto,Cisterna,2,3,25 25 24 23 13,13 19 26 25 15
26.12. 11:00,Trentino,Verona,3,0,25 25 25,13 13 16
21.12. 13:30,Lube Civitanova,Siena,3,0,25 25 25,23 11 18
18.12. 12:00,Modena,Padova,3,0,25 25 25,23 20 23
18.12. 11:00,Lube Civitanova,Taranto,3,0,25 25 35,20 22 33
18.12. 08:30,Monza,Perugia,0,3,19 22 20,25 25 25
18.12. 08:30,Siena,Trentino,0,3,18 13 17,25 25 25
17.12. 13:30,Verona,Piacenza,1,3,21 25 23 23,25 23 25 25
17.12. 11:00,Cisterna,Milano,3,1,25 20 25 25,21 25 23 20
11.12. 11:00,Padova,Piacenza,1,3,24 17 25 20,26 25 21 25
11.12. 11:00,Taranto,Milano,1,3,25 22 22 21,23 25 25 25
11.12. 08:30,Siena,Monza,3,1,26 22 28 25,24 25 26 21
10.12. 10:00,Cisterna,Verona,2,3,13 25 25 20 13,25 23 20 25 15
08.12. 10:00,Padova,Siena,3,0,25 25 25,16 20 20
05.12. 12:30,Milano,Lube Civitanova,1,3,21 25 22 21,25 22 25 25
04.12. 13:30,Piacenza,Cisterna,3,0,25 25 25,22 19 23
04.12. 13:30,Verona,Siena,3,1,20 25 25 25,25 13 20 11
04.12. 11:00,Monza,Modena,1,3,25 22 23 20,22 25 25 25
03.12. 11:00,Trentino,Padova,3,0,25 25 25,15 16 21
03.12. 09:00,Perugia,Taranto,3,1,25 25 23 25,17 19 25 23
27.11. 13:30,Padova,Monza,0,3,16 23 21,25 25 25
27.11. 13:30,Siena,Taranto,1,3,23 25 20 22,25 23 25 25
27.11. 11:00,Cisterna,Perugia,1,3,15 25 20 22,25 18 25 25
27.11. 11:00,Modena,Verona,3,1,25 14 25 25,19 25 18 22
27.11. 11:00,Piacenza,Lube Civitanova,2,3,25 21 25 15 13,21 25 16 25 15
26.11. 11:00,Trentino,Milano,1,3,20 25 15 22,25 21 25 25
24.11. 13:30,Perugia,Modena,3,0,25 25 25,17 16 20
21.11. 12:30,Verona,Padova,3,0,25 25 25,21 17 21
20.11. 13:30,Milano,Piacenza,2,3,18 25 25 22 13,25 21 23 25 15
20.11. 09:30,Perugia,Trentino,3,1,22 25 27 25,25 19 25 13
20.11. 08:30,Taranto,Modena,1,3,25 23 20 19,22 25 25 25
19.11. 11:00,Monza,Cisterna,3,2,21 25 26 25 15,25 18 28 18 11
13.11. 13:30,Verona,Monza,3,0,25 25 25,19 17 14
13.11. 11:00,Cisterna,Lube Civitanova,3,0,25 25 27,19 19 25
13.11. 11:00,Siena,Modena,1,3,15 25 25 23,25 19 27 25
13.11. 11:00,Trentino,Taranto,3,0,25 25 25,17 21 17
13.11. 08:30,Padova,Milano,1,3,30 23 19 18,28 25 25 25
12.11. 11:00,Piacenza,Perugia,1,3,21 22 25 22,25 25 22 25
06.11. 13:30,Monza,Trentino,0,3,22 20 28,25 25 30
06.11. 12:00,Perugia,Milano,3,0,26 25 25,24 22 18
06.11. 11:00,Lube Civitanova,Verona,3,1,16 26 25 26,25 24 21 24
06.11. 08:30,Modena,Cisterna,3,0,25 25 25,15 19 20
05.11. 14:30,Taranto,Piacenza,0,3,16 19 23,25 25 25
30.10. 12:00,Milano,Verona,0,3,20 22 23,25 25 25
30.10. 12:00,Taranto,Padova,2,3,25 25 21 19 14,19 21 25 25 16
30.10. 09:30,Piacenza,Monza,1,3,23 25 24 18,25 18 26 25
29.10. 11:00,Cisterna,Siena,1,3,25 23 25 25,21 25 27 27
27.10. 13:30,Lube Civitanova,Perugia,1,3,25 25 18 19,20 27 25 25
26.10. 13:30,Modena,Trentino,1,3,21 21 27 20,25 25 25 25
23.10. 11:00,Monza,Lube Civitanova,3,0,25 25 25,20 23 12
23.10. 11:00,Padova,Perugia,1,3,25 12 19 18,21 25 25 25
23.10. 11:00,Trentino,Cisterna,3,2,20 25 35 21 15,25 18 33 25 13
23.10. 08:30,Modena,Milano,2,3,26 21 25 23 14,24 25 21 25 16
22.10. 13:30,Siena,Piacenza,0,3,12 19 22,25 25 25
22.10. 11:00,Verona,Taranto,2,3,25 17 25 22 13,17 25 23 25 15
20.10. 13:30,Trentino,Lube Civitanova,2,3,25 25 22 30 13,17 20 25 32 15
16.10. 13:30,Cisterna,Padova,3,1,25 31 25 25,19 33 20 15
16.10. 13:30,Piacenza,Trentino,3,1,23 25 25 25,25 18 22 22
16.10. 11:00,Lube Civitanova,Modena,3,0,25 25 25,21 13 19
16.10. 11:00,Taranto,Monza,3,0,25 25 25,23 16 19
16.10. 08:30,Milano,Siena,3,0,25 29 25,18 27 17
15.10. 13:30,Perugia,Verona,3,0,25 25 25,22 14 20
09.10. 13:30,Lube Civitanova,Padova,2,3,23 25 20 25 12,25 20 25 16 15
09.10. 13:30,Modena,Piacenza,3,1,25 15 25 25,21 25 22 23
09.10. 11:00,Siena,Perugia,1,3,19 25 21 19,25 20 25 25
09.10. 09:00,Cisterna,Taranto,3,0,25 25 28,20 16 26
08.10. 13:30,Verona,Trentino,3,2,23 27 25 28 17,25 25 20 30 15
08.10. 11:00,Monza,Milano,2,3,25 25 20 23 11,23 23 25 25 15
02.10. 13:30,Piacenza,Verona,2,3,20 25 25 20 22,25 23 23 25 24
02.10. 11:00,Milano,Cisterna,0,3,22 19 23,25 25 25
02.10. 11:00,Trentino,Siena,3,1,25 25 23 25,16 21 25 17
02.10. 08:30,Perugia,Monza,3,0,25 25 25,19 21 18
01.10. 13:30,Padova,Modena,3,2,25 16 25 23 15,22 25 17 25 11
01.10. 12:00,Taranto,Lube Civitanova,0,3,23 23 21,25 25 25